penalty,max_iter,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,time,n1,n2,n3
none,131,16,546,909,9,2,8,0.206392765,4470.375,1.125,9
elasticnet,269,2,1172,505,2,2,9,1.09419179,157634,2,18
l1,125,8,643,1099,10,5,9,1.106264591,10046.875,6.25,56.25
l1,162,2,1250,765,6,2,9,3.009803057,101250,6,54
l2,929,1,1377,758,8,2,9,9.905338764,1279233,16,144
l2,960,8,1192,878,8,2,7,1.708986759,143040,2,14
elasticnet,844,2,1015,1108,9,4,9,29.54931641,428330,18,162
l1,175,16,912,1339,3,3,9,1.310240984,9975,0.5625,5.0625
none,475,1,513,442,9,5,12,1.284116983,243675,45,540
none,753,1,309,1192,4,4,8,1.353678703,232677,16,128
elasticnet,214,2,1045,1332,5,2,6,6.013674259,111815,5,30
l2,533,8,647,1131,4,3,6,0.6070518494,43106.375,1.5,9
l1,554,16,187,440,6,4,7,0.3080265522,6474.875,1.5,10.5
elasticnet,634,1,594,383,10,4,8,10.08669853,376596,40,320
elasticnet,685,4,746,675,8,5,10,5.210977554,127752.5,10,100
elasticnet,260,1,1215,1380,8,3,11,24.6611886,315900,24,264
l2,156,8,100,1260,9,2,8,0.1048262119,1950,2.25,18
l1,340,8,815,1164,8,3,11,2.207571745,34637.5,3,33
l2,639,8,335,621,3,2,5,0.2042472363,26758.125,0.75,3.75
none,901,2,1030,373,2,2,8,0.5062339306,464015,2,16
elasticnet,428,2,774,1254,7,3,8,11.62030196,165636,10.5,84
none,876,2,975,608,3,4,9,1.605274916,427050,6,54
none,997,4,1124,629,7,2,8,1.906177521,280157,3.5,28
elasticnet,916,2,925,387,9,2,10,12.82156205,423650,9,90
none,414,1,921,1317,9,3,9,5.694205761,381294,27,243
l2,672,4,584,1269,9,5,9,1.906991959,98112,11.25,101.25
elasticnet,524,4,477,959,5,2,8,3.208259344,62487,2.5,20
elasticnet,177,2,325,1076,6,3,7,1.404492617,28762.5,9,63
l1,289,16,1116,618,8,5,12,1.612622499,20157.75,2.5,30
none,826,4,170,989,5,3,7,0.4030997753,35105,3.75,26.25
l1,269,2,225,1031,10,2,7,1.904563665,30262.5,10,70
l1,402,1,227,1065,5,5,8,2.670580387,91254,25,200
elasticnet,285,2,954,1054,7,4,10,8.015925884,135945,14,140
none,221,16,917,1086,9,3,9,0.5120449066,12666.0625,1.6875,15.1875
elasticnet,797,1,1150,1118,2,5,10,6.408285141,916550,10,100
elasticnet,581,8,1282,1216,7,4,9,6.920648098,93105.25,3.5,31.5
elasticnet,944,4,482,296,5,3,9,2.007487535,113752,3.75,33.75
elasticnet,790,16,650,1002,5,2,7,3.71450758,32093.75,0.625,4.375
none,434,8,691,532,8,3,10,0.3045535088,37486.75,3,30
l1,312,2,1280,737,5,4,7,5.111081123,199680,10,70
l1,386,4,1223,642,2,4,7,1.707395077,118019.5,2,14
l2,857,4,1290,1002,7,3,7,2.910791397,276382.5,5.25,36.75
elasticnet,497,4,575,1328,8,4,10,5.612550735,71443.75,8,80
l1,995,16,270,1327,2,5,8,1.977850437,16790.625,0.625,5
none,868,4,633,216,3,3,7,0.3043069839,137361,2.25,15.75
none,787,1,679,182,3,3,8,0.5520660877,534373,9,72
l2,450,2,1269,343,5,4,9,1.1040411,285525,10,90
l2,496,1,442,334,10,5,9,0.9839806557,219232,50,450
l1,686,16,186,1237,5,3,7,1.010829449,7974.75,0.9375,6.5625
l1,371,8,1287,152,7,3,8,1.004575014,59684.625,2.625,21
l2,980,2,1050,421,2,3,7,0.7244291306,514500,3,21
none,350,1,410,1282,6,2,6,1.34764719,143500,12,72
none,571,1,1058,755,6,5,11,3.440226078,604118,30,330
l2,642,1,132,1095,2,3,7,0.1153175831,84744,6,42
none,865,2,463,1206,4,2,8,1.204750776,200247.5,4,32
elasticnet,456,16,792,1252,7,3,10,3.41549921,22572,1.3125,13.125
elasticnet,506,1,1038,384,6,5,8,9.347616434,525228,30,240
l2,331,2,1040,837,9,5,8,1.906282663,172120,22.5,180
elasticnet,382,8,857,613,3,2,5,1.606556654,40921.75,0.75,3.75
none,990,16,223,281,9,4,10,0.2055430412,13798.125,2.25,22.5
l2,994,4,1221,867,3,2,8,1.4059484,303418.5,1.5,12
none,857,2,720,877,8,2,7,2.706568718,308520,8,56
elasticnet,502,4,642,536,7,5,11,2.806747913,80571,8.75,96.25
l2,161,1,724,1252,6,5,10,1.078270912,116564,30,300
l2,653,8,476,561,8,4,12,0.4034078121,38853.5,4,48
none,309,2,908,922,5,4,9,1.0041821,140286,10,90
elasticnet,995,8,1081,203,10,5,12,4.710926771,134449.375,6.25,75
elasticnet,830,8,301,713,10,4,12,2.70764184,31228.75,5,60
none,109,1,154,1315,9,5,9,0.246696949,16786,45,405
l2,414,4,1394,770,9,4,10,1.806378603,144279,9,90
l1,812,4,708,1112,7,3,11,7.816357374,143724,5.25,57.75
elasticnet,167,1,1389,625,6,3,9,6.375456095,231963,18,162
l2,357,8,902,949,7,5,10,0.604763031,40251.75,4.375,43.75
elasticnet,610,16,1001,157,3,4,7,1.309899569,38163.125,0.75,5.25
elasticnet,656,8,627,1157,6,2,8,3.710609198,51414,1.5,12
l2,422,16,553,599,9,2,9,0.3091492653,14585.375,1.125,10.125
l1,121,16,940,1326,8,3,9,1.111268044,7108.75,1.5,13.5
elasticnet,454,4,589,439,6,2,8,1.906095505,66851.5,3,24
none,341,16,1078,347,3,4,6,0.3091905117,22974.875,0.75,4.5
l1,757,16,1372,796,2,3,7,4.497043848,64912.75,0.375,2.625
elasticnet,835,1,1143,759,3,3,9,15.09924126,954405,9,81
none,217,16,641,1030,4,5,7,0.2102820873,8693.5625,1.25,8.75
elasticnet,551,8,1279,1042,10,3,11,10.72367287,88091.125,3.75,41.25
l1,711,1,680,230,5,5,9,3.339199543,483480,25,225
l2,440,2,567,1110,7,3,8,1.405166388,124740,10.5,84
elasticnet,201,2,1079,355,8,5,9,2.706287146,108439.5,20,180
l2,750,1,754,1175,2,3,5,0.8141829967,565500,6,30
elasticnet,258,8,937,804,2,4,10,1.319390059,30218.25,1,10
l1,892,16,738,1096,7,3,9,4.615325689,41143.5,1.3125,11.8125
l2,641,4,974,383,6,3,10,0.8038468361,156083.5,4.5,45
none,344,4,553,451,9,4,9,0.402998209,47558,9,81
elasticnet,842,8,1282,1168,4,5,9,9.021778107,134930.5,2.5,22.5
none,683,16,281,131,8,2,9,0.1091105938,11995.1875,1,9
none,359,16,704,984,6,5,8,0.4078118801,15796,1.875,15
l1,681,2,374,206,3,2,7,0.7026870251,127347,3,21
l2,551,2,388,583,2,2,7,0.1578426361,106894,2,14
none,672,1,406,257,5,3,10,0.480047226,272832,15,150
l2,160,4,408,1124,7,3,8,0.2037479877,16320,5.25,42
elasticnet,702,4,839,675,4,4,9,2.90717268,147244.5,4,36
l1,751,4,1158,277,7,4,9,3.808417559,217414.5,7,63
none,240,16,805,778,4,3,8,0.2071299553,12075,0.75,6
elasticnet,252,1,660,1154,6,4,9,7.969527245,166320,24,216
l1,815,1,720,1296,7,4,7,29.96365619,586800,28,196
l2,976,16,426,612,9,3,7,0.5096817017,25986,1.6875,11.8125
l1,980,4,282,1382,7,5,10,4.509458303,69090,8.75,87.5
l2,920,8,430,474,5,2,6,0.3040196896,49450,1.25,7.5
l1,260,4,472,1179,2,3,7,0.8039419651,30680,1.5,10.5
l2,105,8,259,256,3,5,9,0.1034202576,3399.375,1.875,16.875
elasticnet,440,16,1253,1162,10,5,9,5.124667406,34457.5,3.125,28.125
none,304,16,1101,183,3,4,8,0.2073254585,20919,0.75,6
none,140,4,898,113,3,2,5,0.1024477482,31430,1.5,7.5
l2,531,2,1061,155,2,3,6,0.1717767715,281695.5,3,18
l1,184,4,237,597,7,3,11,0.4027197361,10902,5.25,57.75
none,446,2,271,1022,3,3,8,0.4024715424,60433,4.5,36
l1,117,16,392,126,3,3,10,0.1071269512,2866.5,0.5625,5.625
elasticnet,429,4,594,998,2,2,6,1.758459806,63706.5,1,6
elasticnet,142,16,173,110,8,3,7,0.1092402935,1535.375,1.5,10.5
l1,751,2,397,936,3,5,8,3.207522869,149073.5,7.5,60
l1,942,2,1325,1302,8,3,11,38.47280598,624075,12,132
l2,357,4,158,1342,6,3,11,0.2031795979,14101.5,4.5,49.5
l2,938,1,293,397,4,4,11,0.5697216988,274834,16,176
none,939,8,1010,818,9,2,11,2.008093119,118548.75,2.25,24.75
elasticnet,384,1,770,650,6,5,7,8.024935484,295680,30,210
elasticnet,249,16,549,1297,7,4,8,1.410487652,8543.8125,1.75,14
l2,115,1,568,808,6,4,8,0.4006454945,65320,24,192
none,149,2,852,172,4,4,9,0.2021479607,63474,8,72
l1,130,1,1255,296,3,4,10,0.9047751427,163150,12,120
none,442,1,480,816,5,4,9,1.074191093,212160,20,180
elasticnet,736,8,1343,313,10,5,9,5.612504005,123556,6.25,56.25
l1,994,16,1185,1016,6,4,9,7.623729944,73618.125,1.5,13.5
l1,919,2,191,225,3,2,8,0.5031282902,87764.5,3,24
l1,156,16,650,1026,7,4,8,0.7105212212,6337.5,1.75,14
l1,947,2,868,544,10,2,10,14.72393608,410998,10,100
elasticnet,422,4,658,1100,10,3,9,6.814491987,69419,7.5,67.5
l1,473,2,335,685,4,5,9,1.404172659,79227.5,10,90
l1,304,1,638,171,4,4,9,1.10080719,193952,16,144
elasticnet,966,16,356,848,5,3,7,2.311634064,21493.5,0.9375,6.5625
none,755,16,1320,1318,4,3,6,1.713663578,62287.5,0.75,4.5
elasticnet,354,4,862,814,9,4,12,5.311689138,76287,9,108
elasticnet,222,1,808,1309,4,5,10,6.488284349,179376,20,200
elasticnet,306,8,615,397,9,3,9,1.105173588,23523.75,3.375,30.375
l1,637,16,972,1203,2,3,8,4.20106864,38697.75,0.375,3
l2,689,1,1178,345,2,5,7,0.5060389042,811642,10,70
l1,296,4,1161,1328,3,2,9,2.810519934,85914,1.5,13.5
l2,829,2,624,435,2,3,6,0.2921378613,258648,3,18
none,296,1,1063,1129,8,5,11,3.606372356,314648,40,440
none,925,4,762,365,7,3,9,0.9039442539,176212.5,5.25,47.25
l2,419,8,454,852,7,4,10,0.3039915562,23778.25,3.5,35
l1,696,1,255,411,4,4,10,1.617977858,177480,16,160
l2,612,16,330,284,9,2,9,0.2082509995,12622.5,1.125,10.125
none,729,2,937,152,3,3,10,0.5024421215,341536.5,4.5,45
elasticnet,570,4,547,946,2,4,9,2.042329788,77947.5,2,18
l2,143,8,1397,207,5,4,10,0.2051949501,24971.375,2.5,25
l1,925,2,1074,537,4,5,9,7.413642168,496725,10,90
elasticnet,625,2,642,510,5,2,9,4.509355545,200625,5,45
elasticnet,165,4,1249,1147,9,5,10,5.113521099,51521.25,11.25,112.5
l1,696,2,638,414,8,2,8,4.909555435,222024,8,64
l2,638,1,854,1136,7,3,11,5.338888168,544852,21,231
l1,490,1,1226,1061,5,2,8,18.01468039,600740,10,80
none,805,1,1271,449,5,4,7,3.894527197,1023155,20,140
elasticnet,171,16,660,130,4,3,9,0.2109155655,7053.75,0.75,6.75
l2,385,1,515,409,7,5,11,0.7459073067,198275,35,385
l1,204,1,171,665,3,4,10,0.3849201202,34884,12,120
l1,997,1,878,1343,3,3,7,19.2956233,875366,9,63
l2,538,2,148,781,9,2,7,0.4022350311,39812,9,63
l1,629,4,117,666,4,3,9,0.4026708603,18398.25,3,27
l2,317,2,1357,661,8,2,9,1.806305408,215084.5,8,72
none,633,2,461,1022,2,4,9,0.3662705421,145906.5,4,36
none,701,2,1310,1363,6,3,8,5.315027475,459155,9,72
l1,152,16,854,158,7,5,10,0.3096914291,8113,2.1875,21.875
l2,663,8,799,1061,9,2,9,1.507054567,66217.125,2.25,20.25
l1,833,4,454,1063,4,2,9,2.50687027,94545.5,2,18
l2,441,4,136,761,8,2,8,0.2024643421,14994,4,32
l1,623,1,898,438,6,2,9,8.424505711,559454,12,108
none,460,8,125,147,7,3,10,0.1032745838,7187.5,2.625,26.25
elasticnet,419,1,689,669,3,3,7,3.711245537,288691,9,63
elasticnet,857,2,842,483,2,3,8,2.339582682,360797,3,24
none,268,4,1122,1300,5,5,8,1.005507231,75174,6.25,50
l1,362,2,1096,1126,3,2,8,5.111740589,198376,3,24
none,789,2,420,1345,7,5,10,2.206224918,165690,17.5,175
l2,691,8,1210,679,8,2,8,1.006346226,104513.75,2,16
l2,400,1,756,632,2,2,6,0.2429218292,302400,4,24
none,659,16,737,721,9,2,11,0.6106376648,30355.1875,1.125,12.375
l2,395,16,243,603,7,3,7,0.2070252895,5999.0625,1.3125,9.1875
l1,488,16,718,302,4,4,7,0.9085454941,21899,1,7
l2,501,4,713,460,10,5,10,0.8036108017,89303.25,12.5,125
l2,879,4,173,816,8,5,12,0.4024317265,38016.75,10,120
none,669,4,438,606,5,3,10,0.5030076504,73255.5,3.75,37.5
l2,259,2,577,583,7,2,7,0.5026123524,74721.5,7,49
elasticnet,503,2,964,853,2,3,9,2.848687649,242446,3,27
elasticnet,206,2,212,230,6,4,7,0.3052597046,21836,12,84
l2,815,16,375,379,4,3,7,0.2060632706,19101.5625,0.75,5.25
none,494,2,434,350,4,5,10,0.2019028664,107198,10,100
none,442,4,289,479,9,5,12,0.3026878834,31934.5,11.25,135
l2,137,2,184,571,4,3,9,0.1019618511,12604,6,54
none,186,4,969,694,10,5,8,0.5038750172,45058.5,12.5,100
none,746,4,287,691,3,3,10,0.2025880814,53525.5,2.25,22.5
elasticnet,557,16,109,971,5,4,7,0.5068745613,3794.5625,1.25,8.75
l2,561,16,725,521,2,4,10,0.272582531,25420.3125,0.5,5
none,945,16,385,527,6,5,9,0.3076415062,22739.0625,1.875,16.875
l2,173,1,934,474,3,3,9,0.3359382153,161582,9,81
elasticnet,297,2,464,123,2,5,10,0.154122591,68904,5,50
none,655,8,167,139,2,4,6,0.02268052101,13673.125,1,6
l1,517,4,870,163,9,3,10,1.905080318,112447.5,6.75,67.5
l1,973,2,321,390,2,3,9,0.680450201,156166.5,3,27
none,671,8,435,642,6,3,9,0.3034543991,36485.625,2.25,20.25
none,413,4,709,751,7,2,8,0.6037831306,73204.25,3.5,28
elasticnet,858,8,248,531,4,3,7,0.9042201042,26598,1.5,10.5
none,121,1,160,916,8,2,9,0.1781840324,19360,16,144
elasticnet,404,2,553,619,8,2,10,3.908815861,111706,8,80
l1,182,8,415,486,10,3,8,0.5052785873,9441.25,3.75,30
l2,565,8,796,687,10,2,7,0.9050705433,56217.5,2.5,17.5
none,993,8,517,206,4,4,8,0.303614378,64172.625,2,16
elasticnet,889,16,753,981,7,3,9,5.216220379,41838.5625,1.3125,11.8125
l1,769,16,434,256,3,3,10,0.6065852642,20859.125,0.5625,5.625
elasticnet,887,1,413,147,7,5,11,2.631711245,366331,35,385
l2,138,8,753,299,3,2,5,0.1026117802,12989.25,0.75,3.75
l1,158,2,172,750,10,3,8,0.7028243542,13588,15,120
l2,170,16,571,505,8,2,10,0.1075806618,6066.875,1,10
l1,250,8,444,327,8,2,9,0.4035403728,13875,2,18
elasticnet,886,1,963,537,9,2,11,26.91261172,853218,18,198
l1,442,4,639,199,2,2,7,0.3322458267,70609.5,1,7